ID,population,FCA032,FCA075,FCA096,FCA100,FCA124,FCA126,FCA132,FCA208,FCA212,FCA225,FCA229,FCA275
BZJ14,1,196,117,191,112,125,150,171,301,106,227,162,123
BZJ14,1,200,127,197,112,127,156,171,305,106,231,166,129
BZJ15,1,198,111,181,108,127,152,171,315,106,231,160,129
BZJ15,1,200,117,197,112,127,156,171,319,106,237,162,129
BZJ16,1,200,103,195,106,123,150,171,305,106,237,162,123
BZJ16,1,200,123,197,112,123,160,171,305,106,237,166,133
BZJ17,1,198,111,181,112,127,152,171,305,106,231,162,129
BZJ17,1,200,123,193,114,127,156,171,315,106,231,170,133
BZJ18,1,198,123,193,106,123,156,171,305,106,237,170,123
BZJ18,1,200,127,193,108,127,156,171,315,106,237,170,123
BZJ19,1,198,115,191,112,123,152,171,313,106,231,166,123
BZJ19,1,200,115,197,114,127,156,171,319,106,237,168,129
BZJ20,1,198,123,-9,108,125,152,171,-9,104,-9,166,133
BZJ20,1,200,123,-9,112,127,156,171,-9,106,-9,168,133
BZJ21,1,200,105,191,112,125,150,171,301,106,237,168,123
BZJ21,1,200,111,197,112,127,160,171,313,106,237,168,123
BZJ22,1,196,111,-9,108,125,-9,171,-9,104,-9,-9,123
BZJ22,1,198,127,-9,112,125,-9,171,-9,106,-9,-9,133
BZJ23,1,192,117,193,108,123,152,171,-9,106,231,-9,123
BZJ23,1,200,117,193,112,125,156,171,-9,106,237,-9,133
BZJ24,1,196,123,191,112,123,156,171,-9,106,-9,162,129
BZJ24,1,198,123,193,112,127,160,171,-9,106,-9,162,129
BZJ25,1,192,115,193,108,125,154,171,301,106,227,166,133
BZJ25,1,200,115,193,112,125,154,171,305,106,237,168,133
BZJ26,1,196,123,193,114,123,156,171,305,106,231,162,123
BZJ26,1,200,123,197,114,125,160,171,319,106,237,166,129
BZJ27,1,198,117,197,108,125,154,171,315,106,227,162,133
BZJ27,1,200,117,197,112,127,156,171,319,106,237,170,133
BZJ28,1,196,121,197,108,127,150,171,315,106,231,168,123
BZJ28,1,200,127,197,108,127,156,171,319,106,237,168,133
BZJ29,1,200,117,185,108,127,156,171,-9,106,237,168,123
BZJ29,1,200,117,197,112,127,160,171,-9,106,237,168,129
BZJ30,1,198,115,181,106,125,156,171,315,106,237,162,123
BZJ30,1,200,123,197,108,125,156,171,315,106,237,166,123
BZJ31,1,200,117,197,108,125,156,171,317,106,231,166,123
BZJ31,1,200,121,197,112,127,156,171,319,106,237,168,123
BZJ32,1,200,111,191,112,-9,-9,171,-9,106,-9,162,123
BZJ32,1,200,117,197,112,-9,-9,171,-9,106,-9,162,129
BZJ33,1,196,111,191,108,123,150,171,301,104,231,162,123
BZJ33,1,200,123,193,112,127,152,171,305,104,237,162,133
BZJ34,1,196,103,191,108,123,156,171,305,106,227,162,133
BZJ34,1,198,111,193,112,127,156,173,305,106,237,170,133
BZJ35,1,198,127,191,108,123,150,171,305,104,227,168,123
BZJ35,1,198,127,197,108,127,150,171,319,106,237,168,129
BZJ36,1,198,115,181,108,125,150,171,305,106,227,162,123
BZJ36,1,198,127,197,108,125,156,171,315,106,227,168,123
BZJ37,1,200,115,191,108,125,150,171,305,-9,237,162,123
BZJ37,1,200,121,197,112,127,156,171,315,-9,237,168,133
BZJ38,1,196,121,191,108,125,150,171,305,106,237,168,133
BZJ38,1,200,127,197,112,125,156,171,313,106,237,168,133
BZJ39,1,200,111,191,112,121,154,171,305,106,231,168,123
BZJ39,1,200,115,193,112,125,156,171,315,106,241,168,129
BZJ40,1,200,115,191,112,127,150,171,301,106,237,168,123
BZJ40,1,200,127,191,112,127,158,171,301,106,237,168,123
BZJ41,1,198,111,193,112,123,154,171,305,106,227,164,123
BZJ41,1,198,111,197,112,125,156,171,315,106,227,164,133
BZJ42,1,200,117,191,108,123,152,171,301,106,237,168,129
BZJ42,1,200,127,197,112,125,154,171,305,106,241,168,133
BZJ43,1,198,115,181,112,123,154,171,305,106,227,164,133
BZJ43,1,200,123,191,112,125,156,171,309,106,237,170,133
BZJ44,1,192,127,-9,108,123,156,171,301,106,-9,166,129
BZJ44,1,198,127,-9,108,127,160,173,305,106,-9,166,133
BZJ45,1,192,-9,-9,106,123,-9,171,301,106,-9,166,-9
BZJ45,1,200,-9,-9,112,125,-9,171,301,106,-9,166,-9
BZJ46,1,190,115,181,108,125,156,171,301,106,-9,162,133
BZJ46,1,192,125,197,108,127,160,171,315,106,-9,168,133
BZJ47,1,198,115,181,108,123,156,-9,-9,106,231,168,123
BZJ47,1,200,123,197,112,125,160,-9,-9,106,237,168,133
BZJ48,1,200,115,181,112,123,156,171,301,106,237,-9,-9
BZJ48,1,200,125,191,112,125,160,171,319,106,237,-9,-9
BZJ49,1,198,125,191,112,127,160,-9,305,104,237,162,123
BZJ49,1,200,125,197,112,127,160,-9,305,104,237,166,133
BZJ50,1,200,123,191,108,125,156,-9,305,106,227,166,-9
BZJ50,1,200,123,193,112,127,156,-9,319,106,237,166,-9
HONJAG01,1,196,111,191,106,125,156,153,305,106,227,166,123
HONJAG01,1,198,115,195,112,127,160,165,315,106,237,166,125
HONJAG02,1,196,111,181,112,125,156,171,319,104,227,162,133
HONJAG02,1,200,117,181,112,131,156,171,319,106,237,174,133
HONJAG03,1,192,111,181,112,125,160,171,317,104,227,166,129
HONJAG03,1,196,111,181,112,125,160,171,319,104,227,166,129
HONJAG04,1,196,111,181,106,121,152,167,301,104,241,162,133
HONJAG04,1,198,115,191,112,123,156,171,309,106,243,168,133
HONJAG05,1,196,111,-9,106,125,152,165,-9,106,-9,-9,-9
HONJAG05,1,196,115,-9,112,127,156,171,-9,106,-9,-9,-9
HONJAG06,1,196,111,181,106,125,152,171,305,104,227,166,133
HONJAG06,1,196,115,181,112,129,156,171,319,106,237,174,133
HONJAG07,1,194,111,181,112,125,156,171,301,104,227,168,123
HONJAG07,1,196,111,197,112,125,160,171,315,106,237,168,129
CRJAG01,1,198,111,191,106,123,154,167,305,104,227,166,125
CRJAG01,1,200,117,197,112,127,156,171,305,106,239,166,125
CRJAG02,1,196,111,191,106,125,152,167,301,106,231,162,123
CRJAG02,1,200,123,193,106,125,154,171,305,106,239,166,125
CRJAG03,1,194,113,191,106,127,152,165,309,104,227,162,123
CRJAG03,1,196,115,191,112,127,154,171,315,104,237,168,133
CRJAG04,1,194,113,181,106,125,152,165,311,104,231,162,123
CRJAG04,1,198,115,181,114,127,154,171,319,106,239,170,125
CRJAG05,1,198,111,181,106,121,152,165,305,104,239,166,123
CRJAG05,1,200,117,191,108,127,154,171,309,106,239,168,133
CRJAG06,1,-9,115,-9,106,-9,152,171,313,104,-9,166,123
CRJAG06,1,-9,115,-9,106,-9,156,171,319,104,-9,166,123
CRJAG07,1,196,115,185,106,121,156,167,309,104,227,166,125
CRJAG07,1,196,117,191,112,125,156,171,309,104,227,166,133
CRJAG08,1,192,121,193,106,125,156,171,305,104,-9,166,123
CRJAG08,1,198,123,197,106,129,156,171,305,106,-9,168,123
CRJAG09,1,-9,117,191,108,-9,152,171,317,104,227,166,123
CRJAG09,1,-9,117,191,110,-9,156,171,319,106,237,166,123
CRJAG10,1,-9,111,-9,-9,-9,152,161,307,104,-9,164,-9
CRJAG10,1,-9,113,-9,-9,-9,154,169,309,106,-9,166,-9
CRJAG11,1,-9,115,191,-9,-9,-9,171,309,104,237,166,123
CRJAG11,1,-9,115,191,-9,-9,-9,171,317,104,239,168,123
CRJAG12,1,198,111,181,-9,125,152,167,-9,106,-9,162,123
CRJAG12,1,200,115,185,-9,125,152,171,-9,106,-9,168,125
CRJAG13,1,-9,-9,-9,-9,-9,-9,167,309,104,237,154,123
CRJAG13,1,-9,-9,-9,-9,-9,-9,171,319,106,239,166,123
CRJAG14,1,196,109,185,106,123,156,167,309,104,231,166,125
CRJAG14,1,196,115,185,112,125,156,171,309,104,237,166,125
CRJAG15,1,196,111,191,108,125,156,153,305,104,231,170,123
CRJAG15,1,198,113,193,112,127,156,171,309,110,237,174,123
CRJAG16,1,-9,115,185,-9,119,152,-9,297,104,237,-9,123
CRJAG16,1,-9,115,185,-9,121,156,-9,303,106,237,-9,133
CRJAG17,1,198,111,181,-9,125,156,165,305,104,231,166,123
CRJAG17,1,198,115,191,-9,125,156,171,309,110,231,174,123
CRJAG18,1,192,113,189,-9,-9,-9,-9,301,-9,225,-9,-9
CRJAG18,1,196,113,195,-9,-9,-9,-9,303,-9,235,-9,-9
CRJAG19,1,196,111,189,-9,-9,-9,171,301,104,227,164,123
CRJAG19,1,196,115,195,-9,-9,-9,171,301,104,239,166,123
CRJAG20,1,196,111,191,106,125,152,171,305,104,231,162,123
CRJAG20,1,198,115,191,112,125,156,171,309,104,237,166,123
CRJAG21,1,196,113,191,106,125,156,171,305,104,231,166,123
CRJAG21,1,196,115,193,112,125,156,171,305,104,235,170,125
CRJAG22,1,192,117,185,106,127,152,171,305,104,231,166,123
CRJAG22,1,198,117,197,106,129,152,171,311,104,237,166,133
CRJAG23,1,196,115,185,106,123,154,167,309,104,227,166,123
CRJAG23,1,196,117,191,106,125,156,171,309,104,241,166,123
CRJAG24,1,198,111,181,106,123,152,165,311,104,237,162,123
CRJAG24,1,198,115,181,106,125,154,165,319,106,239,166,123
CRJAG25,1,196,113,191,106,121,160,171,305,104,227,166,123
CRJAG25,1,200,115,197,106,129,160,171,305,104,241,166,133
CRJAG26,1,196,115,191,106,125,152,171,305,104,231,166,123
CRJAG26,1,198,123,191,106,125,156,171,315,106,237,166,133
CRJAG27,1,-9,111,-9,-9,-9,152,165,305,104,231,166,123
CRJAG27,1,-9,113,-9,-9,-9,156,171,309,106,231,170,125
CRJAG28,1,196,117,191,112,125,156,167,309,104,239,166,123
CRJAG28,1,198,117,191,112,125,156,171,309,104,241,166,133
CRJAG29,1,198,115,185,112,125,-9,171,305,104,231,-9,123
CRJAG29,1,204,115,185,112,125,-9,171,309,104,231,-9,125
CRJAG30,1,196,115,185,106,127,152,165,309,104,237,164,123
CRJAG30,1,200,121,191,112,127,154,171,311,106,239,168,125
CRJAG31,1,194,115,191,106,127,152,171,305,104,237,162,125
CRJAG31,1,196,123,197,112,127,154,171,311,106,239,168,133
CRJAG32,1,196,115,185,106,125,156,171,309,104,-9,166,125
CRJAG32,1,196,117,191,112,125,156,171,311,106,-9,166,125
CRJAG33,1,-9,115,193,106,125,152,171,-9,104,-9,166,125
CRJAG33,1,-9,117,193,106,127,156,171,-9,104,-9,168,133
CRJAG34,1,-9,115,-9,106,125,-9,153,-9,104,-9,-9,125
CRJAG34,1,-9,117,-9,106,125,-9,165,-9,106,-9,-9,133
CRJAG35,1,198,115,185,106,125,152,165,305,104,237,164,123
CRJAG35,1,198,115,191,106,125,156,171,311,106,241,166,125
CRJAG36,1,196,113,-9,-9,125,156,-9,303,104,-9,166,-9
CRJAG36,1,196,115,-9,-9,127,156,-9,305,106,-9,170,-9
